"State_FIPS_Code","Group_Code","State","AGroup","Civilian_non_inst_population","ANumber","Percent_of_population","NumberEmployed","Pop_Employed","NumberUnemployed","RateUnemplo"
"1","1","ALABAMA","Total","3786","2164","57.2","2011","53.1","153","7.1"
"1","2","ALABAMA","Men","1796","1134","63.1","1055","58.7","79","6.9"
"1","3","ALABAMA","Women","1990","1031","51.8","956","48","75","7.2"
"1","4","ALABAMA","White","2714","1563","57.6","1481","54.6","82","5.2"
"1","5","ALABAMA","White, men","1314","859","65.4","819","62.3","41","4.7"
"1","6","ALABAMA","White, women","1400","703","50.2","662","47.3","41","5.9"
"1","7","ALABAMA","Black or African American","963","539","55.9","473","49.1","66","12.2"
"1","8","ALABAMA","Black or African American, men","428","237","55.5","203","47.4","35","14.6"
"1","9","ALABAMA","Black or African American, women","536","301","56.3","270","50.5","31","10.3"
"1","13","ALABAMA","Hispanic or Latino ethnicity","129","90","70.1","81","63.1","9","10"
"1","14","ALABAMA","Hispanic or Latino ethnicity, men","77","63","80.7","58","74.4","5","7.8"
"1","16","ALABAMA","Married men, spouse present","976","663","67.9","644","66","19","2.8"
"1","17","ALABAMA","Married women, spouse present","971","536","55.2","518","53.4","18","3.4"
"1","18","ALABAMA","Women who maintain families","286","161","56.4","143","49.9","19","11.5"
"1","19","ALABAMA","Total, 16 to 19 years","241","62","25.7","44","18.1","18","29.7"
"1","20","ALABAMA","Total, 20 to 24 years","348","238","68.4","209","59.9","30","12.4"
"1","21","ALABAMA","Total, 25 to 34 years","572","455","79.6","409","71.5","46","10.1"
"1","22","ALABAMA","Total, 35 to 44 years","632","507","80.2","486","76.9","20","4"
"1","23","ALABAMA","Total, 45 to 54 years","641","469","73.1","446","69.6","22","4.8"
"1","24","ALABAMA","Total, 55 to 64 years","622","324","52.1","311","50","13","4"
"1","25","ALABAMA","Total, 65 years and over","729","109","15","106","14.5","4","3.3"
"1","27","ALABAMA","Men, 20 to 24 years","166","122","73.4","106","64","16","12.8"
"1","28","ALABAMA","Men, 25 to 34 years","295","254","86.2","232","78.7","22","8.7"
"1","29","ALABAMA","Men, 35 to 44 years","292","256","87.7","245","83.8","11","4.4"
"1","30","ALABAMA","Men, 45 to 54 years","314","250","79.6","237","75.6","12","5"
"1","31","ALABAMA","Men, 55 to 64 years","280","163","58.2","156","55.9","7","4"
"1","32","ALABAMA","Men, 65 years and over","330","62","18.9","61","18.6","1","1.8"
"1","33","ALABAMA","Women, 16 to 19 years","122","35","29.1","27","22.1","8","24"
"1","34","ALABAMA","Women, 20 to 24 years","182","116","63.9","102","56.2","14","12"
"1","35","ALABAMA","Women, 25 to 34 years","278","202","72.6","177","63.9","24","11.9"
"1","36","ALABAMA","Women, 35 to 44 years","340","250","73.7","241","71","9","3.6"
"1","37","ALABAMA","Women, 45 to 54 years","328","219","66.8","209","63.8","10","4.6"
"1","38","ALABAMA","Women, 55 to 64 years","342","161","47.1","155","45.2","7","4.1"
"1","39","ALABAMA","Women, 65 years and over","400","47","11.8","45","11.2","2","5.3"
"1","40","ALABAMA","White, 16 to 19 years","160","46","28.8","35","22","11","23.6"
"1","41","ALABAMA","White, 20 to 24 years","228","163","71.5","151","66.2","12","7.4"
"1","42","ALABAMA","White, 25 to 34 years","381","314","82.4","294","77.1","20","6.5"
"1","43","ALABAMA","White, 35 to 44 years","439","355","80.7","343","78.1","11","3.2"
"1","44","ALABAMA","White, 45 to 54 years","459","346","75.5","329","71.7","17","5"
"1","45","ALABAMA","White, 55 to 64 years","453","246","54.3","238","52.6","8","3.1"
"1","46","ALABAMA","White, 65 years and over","594","93","15.6","91","15.3","2","2.1"
"1","48","ALABAMA","Black or African American, 20 to 24 years","109","68","62","52","47.6","16","23.2"
"1","49","ALABAMA","Black or African American, 25 to 34 years","170","125","73.7","103","60.3","23","18.2"
"1","50","ALABAMA","Black or African American, 35 to 44 years","165","134","81","126","76.1","8","6"
"1","51","ALABAMA","Black or African American, 45 to 54 years","165","110","66.9","106","64.1","5","4.2"
"1","52","ALABAMA","Black or African American, 55 to 64 years","159","75","46.8","69","43.3","6","7.4"
"2","1","ALASKA","Total","541","368","68","342","63.2","26","7.1"
"2","2","ALASKA","Men","276","199","71.8","182","66","16","8.1"
"2","3","ALASKA","Women","264","169","64","159","60.2","10","5.9"
"2","4","ALASKA","White","385","268","69.6","252","65.6","15","5.7"
"2","5","ALASKA","White, men","201","148","73.6","138","68.7","10","6.6"
"2","6","ALASKA","White, women","184","120","65.2","115","62.3","5","4.5"
"2","7","ALASKA","Black or African American","19","12","67","11","61.1","1","8.8"
"2","10","ALASKA","Asian","35","24","68.6","23","65.9","1","4"
"2","12","ALASKA","Asian, women","20","13","65.9","13","63.9","-3","3"
"2","13","ALASKA","Hispanic or Latino ethnicity","34","25","73.1","22","65.8","2","10"
"2","14","ALASKA","Hispanic or Latino ethnicity, men","17","13","77.2","12","68.9","1","10.7"
"2","16","ALASKA","Married men, spouse present","140","108","77.4","103","73.3","6","5.3"
"2","17","ALASKA","Married women, spouse present","137","89","64.7","85","61.9","4","4.4"
"2","18","ALASKA","Women who maintain families","28","21","74.6","19","68.9","2","7.6"
"2","19","ALASKA","Total, 16 to 19 years","41","17","40.8","13","32.8","3","19.5"
"2","20","ALASKA","Total, 20 to 24 years","54","39","73.3","35","65","4","11.2"
"2","21","ALASKA","Total, 25 to 34 years","108","86","80","80","74.2","6","7.3"
"2","22","ALASKA","Total, 35 to 44 years","83","69","82.8","64","77.7","4","6.2"
"2","23","ALASKA","Total, 45 to 54 years","94","78","83.2","75","79.6","3","4.4"
"2","24","ALASKA","Total, 55 to 64 years","92","62","67.2","59","63.5","3","5.4"
"2","25","ALASKA","Total, 65 years and over","70","17","24.6","16","23","1","6.6"
"2","27","ALASKA","Men, 20 to 24 years","26","20","80","18","69.1","3","13.6"
"2","28","ALASKA","Men, 25 to 34 years","54","48","89","44","82.5","4","7.3"
"2","29","ALASKA","Men, 35 to 44 years","41","36","86.1","33","80","3","7.1"
"2","30","ALASKA","Men, 45 to 54 years","47","42","88.2","40","83.9","2","4.9"
"2","31","ALASKA","Men, 55 to 64 years","49","33","67.7","31","62.9","2","7.2"
"2","34","ALASKA","Women, 20 to 24 years","28","19","67.2","17","61.3","2","8.7"
"2","35","ALASKA","Women, 25 to 34 years","54","38","71","35","65.8","3","7.3"
"2","36","ALASKA","Women, 35 to 44 years","41","33","79.6","31","75.4","2","5.2"
"2","37","ALASKA","Women, 45 to 54 years","47","36","78.2","35","75.3","1","3.8"
"2","38","ALASKA","Women, 55 to 64 years","43","29","66.6","28","64.3","1","3.4"
"2","41","ALASKA","White, 20 to 24 years","33","25","76.1","23","69.8","2","8.2"
"2","42","ALASKA","White, 25 to 34 years","74","61","82.4","57","77.7","3","5.7"
"2","43","ALASKA","White, 35 to 44 years","57","49","84.8","46","80.5","2","5.1"
"2","44","ALASKA","White, 45 to 54 years","72","62","85.5","59","82.2","2","3.8"
"2","45","ALASKA","White, 55 to 64 years","69","48","69","45","65.6","2","4.9"
"2","46","ALASKA","White, 65 years and over","55","13","24.1","13","22.9","1","4.7"
"4","1","ARIZONA","Total","5176","3105","60","2888","55.8","217","7"
"4","2","ARIZONA","Men","2519","1673","66.4","1557","61.8","116","6.9"
"4","3","ARIZONA","Women","2657","1432","53.9","1331","50.1","101","7.1"
"4","4","ARIZONA","White","4388","2634","60","2464","56.2","170","6.4"
"4","5","ARIZONA","White, men","2134","1427","66.9","1334","62.5","93","6.5"
"4","6","ARIZONA","White, women","2255","1207","53.5","1130","50.1","77","6.3"
"4","7","ARIZONA","Black or African American","233","142","60.8","134","57.4","8","5.6"
"4","8","ARIZONA","Black or African American, men","119","80","66.9","76","63.7","4","4.8"
"4","9","ARIZONA","Black or African American, women","115","62","54.4","58","50.8","4","6.5"
"4","10","ARIZONA","Asian","193","120","62.1","115","59.6","5","4"
"4","11","ARIZONA","Asian, men","80","56","69.4","54","67.2","2","3.2"
"4","12","ARIZONA","Asian, women","113","64","56.9","61","54.3","3","4.6"
"4","13","ARIZONA","Hispanic or Latino ethnicity","1716","1062","61.9","974","56.8","88","8.3"
"4","14","ARIZONA","Hispanic or Latino ethnicity, men","838","602","71.8","551","65.8","51","8.4"
"4","15","ARIZONA","Hispanic or Latino ethnicity, women","878","461","52.4","423","48.2","38","8.1"
"4","16","ARIZONA","Married men, spouse present","1272","889","69.9","853","67","36","4.1"
"4","17","ARIZONA","Married women, spouse present","1282","676","52.7","643","50.1","33","4.8"
"4","18","ARIZONA","Women who maintain families","327","218","66.6","199","60.8","19","8.8"
"4","19","ARIZONA","Total, 16 to 19 years","389","133","34.1","102","26.1","31","23.3"
"4","20","ARIZONA","Total, 20 to 24 years","463","335","72.3","287","62","48","14.2"
"4","21","ARIZONA","Total, 25 to 34 years","837","654","78.1","616","73.6","37","5.7"
"4","22","ARIZONA","Total, 35 to 44 years","816","638","78.1","612","75","26","4"
"4","23","ARIZONA","Total, 45 to 54 years","899","709","78.9","676","75.2","33","4.7"
"4","24","ARIZONA","Total, 55 to 64 years","808","476","59","448","55.4","28","6"
"4","25","ARIZONA","Total, 65 years and over","965","161","16.7","147","15.2","14","8.9"
"4","26","ARIZONA","Men, 16 to 19 years","202","72","35.6","56","27.9","15","21.6"
"4","27","ARIZONA","Men, 20 to 24 years","231","170","73.4","144","62.2","26","15.3"
"4","28","ARIZONA","Men, 25 to 34 years","404","344","85.1","322","79.8","21","6.2"
"4","29","ARIZONA","Men, 35 to 44 years","417","373","89.5","360","86.5","13","3.4"
"4","30","ARIZONA","Men, 45 to 54 years","446","382","85.5","363","81.4","18","4.8"
"4","31","ARIZONA","Men, 55 to 64 years","389","247","63.6","231","59.3","17","6.7"
"4","32","ARIZONA","Men, 65 years and over","431","86","20","80","18.6","6","7"
"4","33","ARIZONA","Women, 16 to 19 years","188","61","32.4","45","24.2","15","25.4"
"4","34","ARIZONA","Women, 20 to 24 years","232","165","71.2","143","61.9","22","13.2"
"4","35","ARIZONA","Women, 25 to 34 years","433","310","71.6","294","67.8","16","5.2"
"4","36","ARIZONA","Women, 35 to 44 years","400","265","66.3","252","63","13","4.9"
"4","37","ARIZONA","Women, 45 to 54 years","452","327","72.3","312","69","15","4.5"
"4","38","ARIZONA","Women, 55 to 64 years","419","229","54.6","217","51.8","12","5.2"
"4","39","ARIZONA","Women, 65 years and over","534","75","14.1","67","12.6","8","11"
"4","40","ARIZONA","White, 16 to 19 years","317","118","37.3","92","29","26","22.3"
"4","41","ARIZONA","White, 20 to 24 years","372","273","73.5","241","64.9","32","11.6"
"4","42","ARIZONA","White, 25 to 34 years","698","551","78.8","522","74.8","28","5.2"
"4","43","ARIZONA","White, 35 to 44 years","682","528","77.5","512","75.1","16","3.1"
"4","44","ARIZONA","White, 45 to 54 years","749","599","79.9","570","76.1","29","4.8"
"4","45","ARIZONA","White, 55 to 64 years","710","417","58.7","392","55.2","25","6.1"
"4","46","ARIZONA","White, 65 years and over","860","148","17.2","135","15.7","13","8.6"
"4","61","ARIZONA","Hispanic or Latino ethnicity, 16 to 19 years","194","54","27.9","38","19.6","16","29.5"
"4","62","ARIZONA","Hispanic or Latino ethnicity, 20 to 24 years","198","135","68.3","113","57","23","16.7"
"4","63","ARIZONA","Hispanic or Latino ethnicity, 25 to 34 years","350","267","76.3","247","70.6","20","7.4"
"4","64","ARIZONA","Hispanic or Latino ethnicity, 35 to 44 years","318","251","79","242","76.1","9","3.6"
"4","65","ARIZONA","Hispanic or Latino ethnicity, 45 to 54 years","273","210","76.9","200","73.2","10","4.8"
"4","66","ARIZONA","Hispanic or Latino ethnicity, 55 to 64 years","200","116","57.7","108","54","8","6.5"
"5","1","ARKANSAS","Total","2285","1293","56.6","1216","53.2","77","6"
"5","2","ARKANSAS","Men","1099","676","61.6","640","58.2","37","5.4"
"5","3","ARKANSAS","Women","1186","617","52","576","48.5","41","6.6"
"5","4","ARKANSAS","White","1854","1055","56.9","997","53.8","57","5.4"
"5","5","ARKANSAS","White, men","899","566","62.9","539","59.9","27","4.9"
"5","6","ARKANSAS","White, women","955","489","51.2","459","48","30","6.1"
"5","7","ARKANSAS","Black or African American","329","182","55.4","164","49.9","18","9.9"
"5","8","ARKANSAS","Black or African American, men","148","82","55.1","74","49.6","8","9.9"
"5","9","ARKANSAS","Black or African American, women","180","100","55.7","91","50.2","10","9.9"
"5","13","ARKANSAS","Hispanic or Latino ethnicity","160","109","68.2","103","64.8","5","5"
"5","14","ARKANSAS","Hispanic or Latino ethnicity, men","87","66","76.1","63","72.5","3","4.7"
"5","15","ARKANSAS","Hispanic or Latino ethnicity, women","73","43","58.8","40","55.5","2","5.5"
"5","16","ARKANSAS","Married men, spouse present","603","389","64.6","376","62.4","13","3.3"
"5","17","ARKANSAS","Married women, spouse present","591","310","52.4","297","50.2","13","4.3"
"5","18","ARKANSAS","Women who maintain families","182","119","65.3","108","59.3","11","9.1"
"5","19","ARKANSAS","Total, 16 to 19 years","156","52","33.4","45","29","7","13.1"
"5","20","ARKANSAS","Total, 20 to 24 years","202","139","68.8","124","61.3","15","10.9"
"5","21","ARKANSAS","Total, 25 to 34 years","374","296","79.2","281","75","16","5.3"
"5","22","ARKANSAS","Total, 35 to 44 years","350","273","78.1","262","74.7","12","4.4"
"5","23","ARKANSAS","Total, 45 to 54 years","390","275","70.5","260","66.6","15","5.5"
"5","24","ARKANSAS","Total, 55 to 64 years","355","194","54.5","184","51.9","9","4.9"
"5","25","ARKANSAS","Total, 65 years and over","458","64","13.9","61","13.2","3","5"
"5","27","ARKANSAS","Men, 20 to 24 years","100","77","76.7","70","69.6","7","9.2"
"5","28","ARKANSAS","Men, 25 to 34 years","172","155","90.3","148","86.2","7","4.5"
"5","29","ARKANSAS","Men, 35 to 44 years","170","149","87.9","144","84.6","6","3.7"
"5","30","ARKANSAS","Men, 45 to 54 years","189","137","72.6","130","68.8","7","5.2"
"5","31","ARKANSAS","Men, 55 to 64 years","170","99","58.2","94","55.2","5","5.1"
"5","32","ARKANSAS","Men, 65 years and over","206","34","16.4","32","15.5","2","5.5"
"5","34","ARKANSAS","Women, 20 to 24 years","102","62","61","54","53.2","8","12.9"
"5","35","ARKANSAS","Women, 25 to 34 years","202","141","69.8","132","65.5","9","6.2"
"5","36","ARKANSAS","Women, 35 to 44 years","180","124","68.9","118","65.3","6","5.2"
"5","37","ARKANSAS","Women, 45 to 54 years","201","138","68.5","129","64.5","8","5.8"
"5","38","ARKANSAS","Women, 55 to 64 years","185","95","51.2","91","48.8","4","4.6"
"5","39","ARKANSAS","Women, 65 years and over","252","30","11.9","29","11.4","1","4.3"
"5","40","ARKANSAS","White, 16 to 19 years","111","41","36.9","38","33.8","3","8.5"
"5","41","ARKANSAS","White, 20 to 24 years","160","111","69.3","99","62","12","10.6"
"5","42","ARKANSAS","White, 25 to 34 years","291","236","81","225","77.2","11","4.7"
"5","43","ARKANSAS","White, 35 to 44 years","272","218","80.2","208","76.4","10","4.7"
"5","44","ARKANSAS","White, 45 to 54 years","322","229","71.1","217","67.3","12","5.3"
"5","45","ARKANSAS","White, 55 to 64 years","297","164","55.2","158","53.3","6","3.5"
"5","46","ARKANSAS","White, 65 years and over","402","56","14.1","54","13.3","3","5.2"
"5","49","ARKANSAS","Black or African American, 25 to 34 years","62","47","75.5","42","68","5","10"
"5","50","ARKANSAS","Black or African American, 35 to 44 years","52","36","70","35","68.3","1","2.5"
"5","51","ARKANSAS","Black or African American, 45 to 54 years","52","35","68","32","62.3","3","8.4"
"5","64","ARKANSAS","Hispanic or Latino ethnicity, 35 to 44 years","37","30","80.2","29","79","-3","1.6"
"6","1","CALIFORNIA","Total","30158","18797","62.3","17391","57.7","1406","7.5"
"6","2","CALIFORNIA","Men","14739","10232","69.4","9484","64.4","748","7.3"
"6","3","CALIFORNIA","Women","15420","8565","55.5","7907","51.3","658","7.7"
"6","4","CALIFORNIA","White","22378","13998","62.6","13008","58.1","990","7.1"
"6","5","CALIFORNIA","White, men","11059","7773","70.3","7242","65.5","530","6.8"
"6","6","CALIFORNIA","White, women","11319","6225","55","5765","50.9","460","7.4"
"6","7","CALIFORNIA","Black or African American","1912","1117","58.4","965","50.5","152","13.6"
"6","8","CALIFORNIA","Black or African American, men","901","563","62.5","493","54.7","70","12.5"
"6","9","CALIFORNIA","Black or African American, women","1011","555","54.8","473","46.7","82","14.8"
"6","10","CALIFORNIA","Asian","4442","2750","61.9","2586","58.2","164","6"
"6","11","CALIFORNIA","Asian, men","2071","1404","67.8","1314","63.4","90","6.4"
"6","12","CALIFORNIA","Asian, women","2371","1346","56.8","1272","53.7","74","5.5"
"6","13","CALIFORNIA","Hispanic or Latino ethnicity","10553","6863","65","6280","59.5","583","8.5"
"6","14","CALIFORNIA","Hispanic or Latino ethnicity, men","5297","3959","74.7","3649","68.9","311","7.8"
"6","15","CALIFORNIA","Hispanic or Latino ethnicity, women","5256","2903","55.2","2631","50.1","272","9.4"
"6","16","CALIFORNIA","Married men, spouse present","7359","5555","75.5","5297","72","258","4.7"
"6","17","CALIFORNIA","Married women, spouse present","7204","4069","56.5","3856","53.5","214","5.2"
"6","18","CALIFORNIA","Women who maintain families","1788","1158","64.8","1032","57.7","126","10.9"
"6","19","CALIFORNIA","Total, 16 to 19 years","2146","528","24.6","391","18.2","137","25.9"
"6","20","CALIFORNIA","Total, 20 to 24 years","3051","2047","67.1","1810","59.3","237","11.6"
"6","21","CALIFORNIA","Total, 25 to 34 years","5354","4230","79","3903","72.9","327","7.7"
"6","22","CALIFORNIA","Total, 35 to 44 years","5049","4044","80.1","3800","75.3","243","6"
"6","23","CALIFORNIA","Total, 45 to 54 years","5168","4056","78.5","3822","74","234","5.8"
"6","24","CALIFORNIA","Total, 55 to 64 years","4504","2945","65.4","2772","61.5","173","5.9"
"6","25","CALIFORNIA","Total, 65 years and over","4886","947","19.4","893","18.3","54","5.7"
"6","26","CALIFORNIA","Men, 16 to 19 years","1119","269","24","198","17.7","71","26.3"
"6","27","CALIFORNIA","Men, 20 to 24 years","1535","1083","70.5","955","62.2","127","11.8"
"6","28","CALIFORNIA","Men, 25 to 34 years","2730","2360","86.4","2186","80.1","173","7.4"
"6","29","CALIFORNIA","Men, 35 to 44 years","2461","2240","91","2110","85.7","130","5.8"
"6","30","CALIFORNIA","Men, 45 to 54 years","2514","2169","86.3","2050","81.5","119","5.5"
"6","31","CALIFORNIA","Men, 55 to 64 years","2190","1584","72.3","1487","67.9","97","6.1"
"6","32","CALIFORNIA","Men, 65 years and over","2189","528","24.1","498","22.7","30","5.7"
"6","33","CALIFORNIA","Women, 16 to 19 years","1028","259","25.2","193","18.8","66","25.6"
"6","34","CALIFORNIA","Women, 20 to 24 years","1516","965","63.7","855","56.4","110","11.4"
"6","35","CALIFORNIA","Women, 25 to 34 years","2624","1870","71.3","1716","65.4","154","8.2"
"6","36","CALIFORNIA","Women, 35 to 44 years","2588","1804","69.7","1690","65.3","113","6.3"
"6","37","CALIFORNIA","Women, 45 to 54 years","2654","1887","71.1","1772","66.8","115","6.1"
"6","38","CALIFORNIA","Women, 55 to 64 years","2314","1361","58.8","1285","55.5","76","5.6"
"6","39","CALIFORNIA","Women, 65 years and over","2697","419","15.5","395","14.7","24","5.6"
"6","40","CALIFORNIA","White, 16 to 19 years","1574","396","25.2","295","18.8","101","25.5"
"6","41","CALIFORNIA","White, 20 to 24 years","2262","1582","70","1420","62.8","162","10.2"
"6","42","CALIFORNIA","White, 25 to 34 years","3877","3082","79.5","2871","74.1","211","6.8"
"6","43","CALIFORNIA","White, 35 to 44 years","3687","2953","80.1","2771","75.1","183","6.2"
"6","44","CALIFORNIA","White, 45 to 54 years","3833","3035","79.2","2862","74.6","174","5.7"
"6","45","CALIFORNIA","White, 55 to 64 years","3385","2200","65","2081","61.5","119","5.4"
"6","46","CALIFORNIA","White, 65 years and over","3760","749","19.9","708","18.8","41","5.4"
"6","48","CALIFORNIA","Black or African American, 20 to 24 years","200","123","61.6","99","49.4","24","19.9"
"6","49","CALIFORNIA","Black or African American, 25 to 34 years","390","301","77","244","62.4","57","19"
"6","50","CALIFORNIA","Black or African American, 35 to 44 years","300","229","76.5","211","70.3","19","8.2"
"6","51","CALIFORNIA","Black or African American, 45 to 54 years","330","223","67.5","205","62.2","18","7.9"
"6","52","CALIFORNIA","Black or African American, 55 to 64 years","278","160","57.5","140","50.5","20","12.2"
"6","53","CALIFORNIA","Black or African American, 65 years and over","289","54","18.6","49","17","5","8.7"
"6","54","CALIFORNIA","Asian, 16 to 19 years","254","40","15.9","32","12.7","8","20.4"
"6","55","CALIFORNIA","Asian, 20 to 24 years","379","199","52.6","173","45.6","26","13.3"
"6","56","CALIFORNIA","Asian, 25 to 34 years","821","625","76.1","588","71.6","37","5.9"
"6","57","CALIFORNIA","Asian, 35 to 44 years","804","657","81.7","629","78.3","28","4.2"
"6","58","CALIFORNIA","Asian, 45 to 54 years","756","613","81.1","582","77","31","5"
"6","59","CALIFORNIA","Asian, 55 to 64 years","693","492","71","465","67.1","26","5.4"
"6","60","CALIFORNIA","Asian, 65 years and over","735","124","16.8","116","15.9","7","5.9"
"6","61","CALIFORNIA","Hispanic or Latino ethnicity, 16 to 19 years","1046","254","24.3","185","17.7","69","27"
"6","62","CALIFORNIA","Hispanic or Latino ethnicity, 20 to 24 years","1353","953","70.4","849","62.8","103","10.9"
"6","63","CALIFORNIA","Hispanic or Latino ethnicity, 25 to 34 years","2307","1828","79.3","1682","72.9","146","8"
"6","64","CALIFORNIA","Hispanic or Latino ethnicity, 35 to 44 years","2069","1635","79","1527","73.8","107","6.6"
"6","65","CALIFORNIA","Hispanic or Latino ethnicity, 45 to 54 years","1733","1354","78.1","1259","72.6","95","7"
"6","66","CALIFORNIA","Hispanic or Latino ethnicity, 55 to 64 years","1099","682","62","631","57.4","51","7.5"
"6","67","CALIFORNIA","Hispanic or Latino ethnicity, 65 years and over","946","158","16.7","146","15.5","12","7.3"
"8","1","COLORADO","Total","4145","2822","68.1","2683","64.7","139","4.9"
"8","2","COLORADO","Men","2042","1522","74.5","1446","70.8","75","5"
"8","3","COLORADO","Women","2102","1300","61.8","1237","58.8","63","4.9"
"8","4","COLORADO","White","3729","2553","68.5","2436","65.3","117","4.6"
"8","5","COLORADO","White, men","1837","1372","74.7","1308","71.2","65","4.7"
"8","6","COLORADO","White, women","1892","1181","62.4","1129","59.7","52","4.4"
"8","7","COLORADO","Black or African American","163","107","65.9","96","58.8","12","10.8"
"8","8","COLORADO","Black or African American, men","83","56","67.7","51","60.8","6","10.2"
"8","9","COLORADO","Black or African American, women","79","51","64.1","45","56.7","6","11.6"
"8","10","COLORADO","Asian","129","82","63.6","79","60.9","3","4.2"
"8","11","COLORADO","Asian, men","55","43","78.4","41","73.5","3","6.3"
"8","12","COLORADO","Asian, women","74","39","52.6","38","51.5","1","1.9"
"8","13","COLORADO","Hispanic or Latino ethnicity","728","501","68.8","469","64.4","32","6.4"
"8","14","COLORADO","Hispanic or Latino ethnicity, men","358","288","80.5","271","75.8","17","5.9"
"8","15","COLORADO","Hispanic or Latino ethnicity, women","370","212","57.4","197","53.4","15","7"
"8","16","COLORADO","Married men, spouse present","1096","860","78.5","831","75.9","29","3.4"
"8","17","COLORADO","Married women, spouse present","1117","681","61","661","59.2","21","3"
"8","18","COLORADO","Women who maintain families","193","144","74.5","136","70.8","7","5.1"
"8","19","COLORADO","Total, 16 to 19 years","270","106","39.4","87","32.2","19","18.3"
"8","20","COLORADO","Total, 20 to 24 years","332","252","75.9","233","70","20","7.8"
"8","21","COLORADO","Total, 25 to 34 years","764","641","83.9","611","80","30","4.7"
"8","22","COLORADO","Total, 35 to 44 years","739","635","85.9","616","83.3","20","3.1"
"8","23","COLORADO","Total, 45 to 54 years","717","595","83.1","573","80","22","3.7"
"8","24","COLORADO","Total, 55 to 64 years","680","464","68.2","442","64.9","22","4.8"
"8","25","COLORADO","Total, 65 years and over","642","128","19.9","122","19","5","4.3"
"8","26","COLORADO","Men, 16 to 19 years","140","50","35.7","40","28.5","10","20.1"
"8","27","COLORADO","Men, 20 to 24 years","175","137","78.4","126","72.1","11","8.1"
"8","28","COLORADO","Men, 25 to 34 years","373","340","91","325","86.9","15","4.5"
"8","29","COLORADO","Men, 35 to 44 years","377","355","94.3","343","91.1","12","3.4"
"8","30","COLORADO","Men, 45 to 54 years","356","316","88.8","305","85.5","12","3.7"
"8","31","COLORADO","Men, 55 to 64 years","331","251","75.9","239","72.2","12","4.9"
"8","32","COLORADO","Men, 65 years and over","290","72","24.8","69","23.7","3","4.3"
"8","33","COLORADO","Women, 16 to 19 years","130","56","43.4","47","36.1","9","16.8"
"8","34","COLORADO","Women, 20 to 24 years","157","115","73.2","107","67.8","8","7.4"
"8","35","COLORADO","Women, 25 to 34 years","391","301","77.1","287","73.4","15","4.9"
"8","36","COLORADO","Women, 35 to 44 years","362","280","77.3","272","75.1","8","2.8"
"8","37","COLORADO","Women, 45 to 54 years","360","279","77.4","269","74.5","10","3.7"
"8","38","COLORADO","Women, 55 to 64 years","349","213","60.9","203","58","10","4.7"
"8","39","COLORADO","Women, 65 years and over","352","56","15.9","53","15.2","2","4.3"
"8","40","COLORADO","White, 16 to 19 years","231","94","40.8","78","33.5","17","17.9"
"8","41","COLORADO","White, 20 to 24 years","286","218","76.3","202","70.6","16","7.5"
"8","42","COLORADO","White, 25 to 34 years","672","570","84.9","546","81.3","24","4.2"
"8","43","COLORADO","White, 35 to 44 years","659","570","86.5","554","84","16","2.9"
"8","44","COLORADO","White, 45 to 54 years","659","548","83.1","528","80.2","19","3.5"
"8","45","COLORADO","White, 55 to 64 years","619","434","70.2","415","67","20","4.6"
"8","46","COLORADO","White, 65 years and over","603","118","19.6","114","18.9","4","3.7"
"8","50","COLORADO","Black or African American, 35 to 44 years","35","29","84.8","28","79.6","2","6.1"
"8","56","COLORADO","Asian, 25 to 34 years","37","27","74.6","27","72.7","1","2.5"
"8","61","COLORADO","Hispanic or Latino ethnicity, 16 to 19 years","73","30","41.7","24","33","6","20.8"
"8","62","COLORADO","Hispanic or Latino ethnicity, 20 to 24 years","94","73","77.9","68","72.6","5","6.8"
"8","63","COLORADO","Hispanic or Latino ethnicity, 25 to 34 years","151","126","83.3","120","79.5","6","4.6"
"8","64","COLORADO","Hispanic or Latino ethnicity, 35 to 44 years","145","114","78.7","107","73.7","7","6.4"
"8","65","COLORADO","Hispanic or Latino ethnicity, 45 to 54 years","121","98","81.1","93","77.3","5","4.7"
"8","66","COLORADO","Hispanic or Latino ethnicity, 55 to 64 years","82","48","58.5","46","56","2","4.3"
"9","1","CONNECTICUT","Total","2867","1893","66","1769","61.7","124","6.6"
"9","2","CONNECTICUT","Men","1375","979","71.2","910","66.2","68","7"
"9","3","CONNECTICUT","Women","1491","915","61.3","859","57.6","56","6.1"
"9","4","CONNECTICUT","White","2387","1578","66.1","1483","62.2","95","6"
"9","5","CONNECTICUT","White, men","1150","815","70.9","764","66.5","51","6.2"
"9","6","CONNECTICUT","White, women","1237","763","61.7","719","58.1","44","5.8"
"9","7","CONNECTICUT","Black or African American","305","192","63.1","168","55.2","24","12.5"
"9","8","CONNECTICUT","Black or African American, men","139","94","67.9","80","57.8","14","14.9"
"9","9","CONNECTICUT","Black or African American, women","166","98","59","88","53","10","10.2"
"9","10","CONNECTICUT","Asian","134","93","69.6","90","67.4","3","3.3"
"9","11","CONNECTICUT","Asian, men","65","52","80","49","76.5","2","4.3"
"9","12","CONNECTICUT","Asian, women","69","42","60","41","58.8","1","2"
"9","13","CONNECTICUT","Hispanic or Latino ethnicity","323","221","68.5","197","61","24","10.9"
"9","14","CONNECTICUT","Hispanic or Latino ethnicity, men","150","117","78.1","103","68.7","14","12"
